Site,latDD,lonDD
NorthECA,26.145832,-80.09708633
MiddleECA,25.87915781,-80.10386706
SouthECA,25.70408493,-80.126641
LooeKey,24.54509014,-81.40838128
SandKey,24.45189128,-81.87714079
